name,product_url,postal_code,city
Boekhandel Maximus,https://libris.nl/maximushillegersberg/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3054 GG,Rotterdam
Relay Rotterdam Centraal Hal,https://libris.nl/relay/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3013 AJ,Rotterdam
Relay Rotterdam Centraal Passage,https://libris.nl/relay/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3013 AJ,Rotterdam
Bredero Boeken,https://libris.nl/bredero/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2071 EP,Santpoort-Noord
Boekhandel Plukker,https://libris.nl/boekhandelplukker/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1741 GB,Schagen
De Spijker Boek en Gemak,https://libris.nl/despijkerboekengemak/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5374 AC,Schaijk
Primera Boekhandel Scherpenzeel,https://libris.nl/boekhandel-scherpenzeel/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3925 KC,Scherpenzeel
Post Scriptum,https://libris.nl/postscriptum/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3121 CA,Schiedam
Boekhandel Simpelveld,https://libris.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,6369 AW,Simpelveld
La Livy Boek & Cadeau,https://libris.nl/lalivy/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5271 AW,Sint-Michielgestel
Boekhandel Sint-Oedenrode,https://libris.nl/boekhandelsintoedenrode/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5492 AT,Sint-Oedenrode
PeZZi PaZZi,https://www.pezzipazzi.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1381 BA,WEESP
Boekhandel Remortel - Sluis,https://libris.nl/remortel-sluis/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,4524 EC,Sluis
Van der Velde Boeken Sneek,https://www.vanderveldeboeken.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,8601 CM,Sneek
Boekhandel Van de Ven,https://libris.nl/vandeven/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3768 EJ,Soest
Boekhandel Someren,https://libris.nl/boekhandelsomeren/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5711 EN,Someren
De Traverse,https://libris.nl/detraverse/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5691 AD,Son en Breugel
Firma P.A. Vermeulen,https://libris.nl/vermeulenboekhandel/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,4651 BL,Steenbergen
Primera Blz. Steenwijk's Boekhuys,https://libris.nl/steenwijk/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,8331 HD,Steenwijk
Boekhandel Schouten,https://libris.nl/boekhandelschouten/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3291 AJ,Strijen
De Gemaksshop Tegelen,https://libris.nl/gemaksshoptegelen/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5931 NM,Tegelen
